Rk,Team,,,,,,,,,,,,,,,,,,,,,,
1,GS,,,,,,,,,,,,,,,,,,,,,,
2,SA,,,,,,,,,,,,,,,,,,,,,,
3,HOU,,,,,,,,,,,,,,,,,,,,,,
4,BOS,,,,,,,,,,,,,,,,,,,,,,
5,CLE,,,,,,,,,,,,,,,,,,,,,,
6,LAC,,,,,,,,,,,,,,,,,,,,,,
7,TOR,,,,,,,,,,,,,,,,,,,,,,
8,UTA,,,,,,,,,,,,,,,,,,,,,,
9,WAS,,,,,,,,,,,,,,,,,,,,,,
10,OKC,,,,,,,,,,,,,,,,,,,,,,
11,ATL,,,,,,,,,,,,,,,,,,,,,,
12,MEM,,,,,,,,,,,,,,,,,,,,,,
13,IND,,,,,,,,,,,,,,,,,,,,,,
14,MIL,,,,,,,,,,,,,,,,,,,,,,
15,CHI,,,,,,,,,,,,,,,,,,,,,,
16,POR,,,,,,,,,,,,,,,,,,,,,,
17,MIA,,,,,,,,,,,,,,,,,,,,,,
18,DEN,,,,,,,,,,,,,,,,,,,,,,
19,DET,,,,,,,,,,,,,,,,,,,,,,
20,CHA,,,,,,,,,,,,,,,,,,,,,,
21,NO,,,,,,,,,,,,,,,,,,,,,,
22,DAL,,,,,,,,,,,,,,,,,,,,,,
23,SAC,,,,,,,,,,,,,,,,,,,,,,
24,MIN,,,,,,,,,,,,,,,,,,,,,,
25,NY,,,,,,,,,,,,,,,,,,,,,,
26,ORL,,,,,,,,,,,,,,,,,,,,,,
27,PHI,,,,,,,,,,,,,,,,,,,,,,
28,LAL,,,,,,,,,,,,,,,,,,,,,,
29,PHO,,,,,,,,,,,,,,,,,,,,,,
30,BKN,,,,,,,,,,,,,,,,,,,,,,
